"film","ceremony","name","winner","Year","Rating_IMDB","Oscarstat_totalnoms","Nom_Oscar_bestdirector","Rating_rtcritic","Nom_GoldenGlobe_bestdrama","Win_GoldenGlobe_bestdrama","genre"
"Mystic River",76,"Robert Lorenz, Judie G. Hoyt and Clint Eastwood, Producers","False",2004,8,6,"1",87,1,0,"Crime"
"Nashville",48,"Robert Altman, Producer","False",1976,7.8,4,"1",94,1,0,"Comedy"
"Nebraska",86,"Albert Berger and Ron Yerxa, Producers","False",2014,7.7,6,"1",91,0,0,"Comedy"
"Network",49,"Howard Gottfried, Producer","False",1977,8.1,10,"1",91,1,0,"Drama"
"Nicholas and Alexandra",44,"Sam Spiegel, Producer","False",1972,7.3,6,"0",71,0,0,"Biography"
"No Country for Old Men",80,"Scott Rudin, Ethan Coen and Joel Coen, Producers","True",2008,8.1,8,"1",93,1,0,"Crime"
"Norma Rae",52,"Tamara Asseyev and Alex Rose, Producers","False",1980,7.4,3,"0",90,1,0,"Drama"
"Oliver!",41,"John Woolf, Producer","True",1969,7.5,12,"1",81,0,0,"Drama"
"On Golden Pond",54,"Bruce Gilbert, Producer","False",1982,7.7,10,"1",92,1,1,"Drama"
"Ordinary People",53,"Ronald L. Schwary, Producer","True",1981,7.8,6,"1",90,1,1,"Drama"
"Out of Africa",58,"Sydney Pollack, Producer","True",1986,7.2,11,"1",56,1,1,"Biography"
"Patton",43,"Frank McCarthy, Producer","True",1971,8,10,"1",95,1,0,"Biography"
"Phantom Thread",90,"JoAnne Sellar, Paul Thomas Anderson, Megan Ellison and Daniel Lupi, Producers","False",2018,8.3,6,"0",91,0,0,"Drama"
"Philomena",86,"Gabrielle Tana, Steve Coogan and Tracey Seaward, Producers","False",2014,7.6,4,"0",92,1,0,"Biography"
"Places in the Heart",57,"Arlene Donovan, Producer","False",1985,7.3,7,"1",96,1,0,"Drama"
"Platoon",59,"Arnold Kopelson, Producer","True",1987,8.1,8,"1",88,1,1,"Drama"
"Prizzi's Honor",58,"John Foreman, Producer","False",1986,6.8,8,"1",88,0,0,"Crime"
"Pulp Fiction",67,"Lawrence Bender, Producer","False",1995,8.9,7,"1",94,1,0,"Crime"
"Quiz Show",67,"Robert Redford, Michael Jacobs, Julian Krainin and Michael Nozik, Producers","False",1995,7.5,4,"1",96,1,0,"Biography"
"Rachel, Rachel",41,"Paul Newman, Producer","False",1969,7.5,4,"0",86,0,0,"Drama"
"Raging Bull",53,"Irwin Winkler and Robert Chartoff, Producers","False",1981,8.2,8,"1",97,1,0,"Biography"
"Raiders of the Lost Ark",54,"Frank Marshall, Producer","False",1982,8.5,9,"1",94,0,0,"Action"
"Rain Man",61,"Mark Johnson, Producer","True",1989,8,8,"1",90,1,1,"Drama"
"Ray",77,"Taylor Hackford, Stuart Benjamin and Howard Baldwin, Producers","False",2005,7.7,6,"1",81,0,0,"Biography"
"Reds",54,"Warren Beatty, Producer","False",1982,7.5,12,"1",94,1,0,"Biography"
"Rocky",49,"Irwin Winkler and Robert Chartoff, Producers","True",1977,8.1,9,"1",93,1,1,"Drama"
"Roma",91,"Gabriela Rodríguez and Alfonso Cuarón, Producers","False",2019,8,10,"1",83,0,0,"Drama"
"Romeo and Juliet",41,"Anthony Havelock-Allan and John Brabourne, Producers","False",1969,7.6,8,"1",97,0,0,"Drama"
"Room",88,"Ed Guiney, Producer","False",2016,8.2,4,"1",94,1,0,"Drama"
"Saving Private Ryan",71,"Steven Spielberg, Ian Bryce, Mark Gordon and Gary Levinsohn, Producers","False",1999,8.6,11,"1",92,1,1,"Drama"
"Scent of a Woman",65,"Martin Brest, Producer","False",1993,8,6,"1",88,1,1,"Drama"
"Schindler's List",66,"Steven Spielberg, Gerald R. Molen and Branko Lustig, Producers","True",1994,8.9,12,"1",96,1,1,"Biography"
"Seabiscuit",76,"Kathleen Kennedy, Frank Marshall and Gary Ross, Producers","False",2004,7.3,7,"0",77,1,0,"Drama"
